transaction_id,amount,hour_of_day,day_of_week,merchant_category,distance_from_home,distance_from_last_transaction,ratio_to_median_amount,is_foreign,is_weekend,velocity_last_hour,is_fraud
300001,33.19,19,6,10,14.0,4.7,1.26,0,1,2,0
300002,16.4,10,5,6,10.3,0.2,2.41,0,1,1,0
300003,155.71,22,5,3,14.1,0.5,0.73,0,1,2,0
300004,15.82,15,2,9,0.9,1.3,0.78,0,0,3,0
300005,19.63,11,6,5,10.0,1.1,0.63,0,1,2,0
300006,42.29,8,1,10,1.8,2.3,0.99,0,0,3,0
300007,17.6,12,4,3,7.5,0.9,0.61,0,0,2,0
300008,111.05,1,2,7,14.7,0.1,1.13,1,0,1,0
300009,19.67,14,4,8,12.0,3.7,2.01,1,0,5,0
300010,18.58,14,0,10,10.8,4.2,0.95,0,0,1,0
300011,10.55,13,2,10,7.2,0.2,0.71,0,0,2,0
300012,6.55,18,2,3,3.1,2.8,0.71,0,0,2,0
300013,22.03,11,6,9,3.9,4.7,0.86,0,1,1,0
300014,4.99,12,1,2,4.3,9.5,1.17,0,0,0,0
300015,46.81,8,4,9,2.7,7.3,0.66,0,0,1,0
300016,86.65,15,5,7,1.2,0.2,0.48,0,1,3,0
300017,69.05,15,5,5,3.1,8.2,0.83,0,1,1,0
300018,39.05,19,0,8,7.6,4.5,1.03,0,0,1,0
300019,27.26,17,4,3,6.1,0.9,1.4,0,0,3,0
300020,13.44,10,5,9,5.4,1.1,1.24,0,1,3,0
300021,64.31,14,0,2,2.4,4.9,1.26,0,0,3,0
300022,30.97,17,0,10,3.1,1.7,0.91,0,0,3,0
300023,73.57,18,6,9,6.5,3.2,0.91,0,1,3,0
300024,59.77,14,6,3,8.0,0.2,1.05,0,1,4,0
300025,47.49,12,1,4,0.1,0.4,0.48,0,0,1,0
300026,21.13,13,4,9,2.3,0.8,1.96,0,0,3,0
300027,56.9,15,0,9,0.4,3.3,2.42,0,0,2,0
300028,19.93,10,6,8,1.1,2.3,0.61,0,1,1,0
300029,172.46,9,4,1,2.7,2.0,0.88,0,0,3,0
300030,44.39,9,0,5,2.3,7.5,1.33,0,0,2,0
300031,13.13,8,6,4,4.4,4.2,0.44,0,1,1,0
