date,store_id,product_category,units_sold,unit_price,revenue,promotion,day_of_week,month,is_holiday
2023-01-01,5,sports,10,40.76,407.6,0,6,1,1
2023-01-01,3,home,10,64.09,640.9,0,6,1,1
2023-01-01,5,food,59,10.09,595.31,0,6,1,1
2023-01-01,5,sports,8,43.24,345.92,0,6,1,1
2023-01-01,2,clothing,27,40.93,1105.11,0,6,1,1
2023-01-01,3,home,17,89.44,1520.48,1,6,1,1
2023-01-01,3,clothing,26,46.4,1206.4,0,6,1,1
2023-01-01,3,home,20,49.42,988.4,0,6,1,1
2023-01-02,1,home,16,80.81,1292.96,0,0,1,1
2023-01-02,5,home,6,79.77,478.62,0,0,1,1
2023-01-02,5,sports,17,51.04,867.68,1,0,1,1
2023-01-02,2,electronics,14,145.81,2041.34,0,0,1,1
2023-01-02,5,sports,15,57.97,869.55,0,0,1,1
2023-01-02,2,sports,11,49.67,546.37,0,0,1,1
2023-01-02,1,electronics,16,151.95,2431.2,0,0,1,1
2023-01-02,4,electronics,16,143.26,2292.16,0,0,1,1
2023-01-03,3,sports,5,43.86,219.3,0,1,1,0
2023-01-03,5,electronics,12,127.06,1524.72,0,1,1,0
2023-01-03,4,sports,5,54.86,274.3,0,1,1,0
2023-01-03,5,home,8,69.7,557.6,0,1,1,0
2023-01-03,3,home,11,75.37,829.07,0,1,1,0
2023-01-03,3,home,11,75.7,832.7,0,1,1,0
2023-01-03,4,home,12,68.45,821.4,0,1,1,0
2023-01-03,2,home,18,71.89,1294.02,0,1,1,0
2023-01-03,2,food,45,12.0,540.0,1,1,1,0
2023-01-04,1,food,42,8.89,373.38,0,2,1,0
2023-01-04,1,food,48,9.66,463.68,1,2,1,0
2023-01-04,4,clothing,31,49.81,1544.11,1,2,1,0
2023-01-04,3,sports,11,55.47,610.17,0,2,1,0
2023-01-04,3,electronics,14,124.27,1739.78,0,2,1,0
2023-01-04,5,home,15,64.89,973.35,0,2,1,0
2023-01-04,3,electronics,12,151.83,1821.96,0,2,1,0
2023-01-05,2,sports,7,63.63,445.41,0,3,1,0
2023-01-05,1,electronics,11,135.85,1494.35,0,3,1,0
2023-01-05,4,sports,10,72.49,724.9,1,3,1,0
2023-01-05,2,home,4,80.83,323.32,0,3,1,0
2023-01-05,3,home,13,69.79,907.27,1,3,1,0
2023-01-05,4,home,8,60.2,481.6,0,3,1,0
2023-01-06,5,home,10,53.78,537.8,0,4,1,0
2023-01-06,5,food,35,11.66,408.1,0,4,1,0
2023-01-06,4,home,9,89.63,806.67,0,4,1,0
2023-01-06,2,home,9,87.71,789.39,0,4,1,0
2023-01-06,1,clothing,19,41.01,779.19,0,4,1,0
2023-01-07,4,food,48,9.54,457.92,0,5,1,0
2023-01-07,5,clothing,14,45.5,637.0,0,5,1,0
2023-01-07,1,sports,7,49.4,345.8,0,5,1,0
2023-01-07,3,sports,6,64.51,387.06,0,5,1,0
2023-01-07,4,food,41,9.27,380.07,0,5,1,0
2023-01-07,1,home,11,66.82,735.02,0,5,1,0
2023-01-07,4,electronics,5,149.89,749.45,0,5,1,0
2023-01-07,4,home,14,75.16,1052.24,1,5,1,0
2023-01-08,1,sports,7,55.72,390.04,0,6,1,0
2023-01-08,1,sports,5,45.02,225.1,0,6,1,0
2023-01-08,1,sports,5,68.1,340.5,0,6,1,0
2023-01-08,5,food,45,9.81,441.45,0,6,1,0
2023-01-08,2,home,16,76.8,1228.8,0,6,1,0
2023-01-08,4,sports,11,57.81,635.91,0,6,1,0
2023-01-08,5,home,16,90.06,1440.96,0,6,1,0
2023-01-08,5,food,48,8.88,426.24,0,6,1,0
2023-01-09,3,electronics,14,135.38,1895.32,0,0,1,0
2023-01-09,5,clothing,19,43.31,822.89,0,0,1,0
2023-01-09,5,home,12,80.19,962.28,1,0,1,0
2023-01-09,4,clothing,13,52.13,677.69,0,0,1,0
2023-01-09,1,clothing,18,33.12,596.16,0,0,1,0
2023-01-10,1,home,6,58.43,350.58,0,1,1,0
2023-01-10,1,clothing,25,48.28,1207.0,0,1,1,0
2023-01-10,4,electronics,7,131.64,921.48,0,1,1,0
2023-01-10,2,clothing,16,41.22,659.52,1,1,1,0
2023-01-10,3,electronics,10,147.7,1477.0,0,1,1,0
2023-01-10,1,home,8,70.43,563.44,0,1,1,0
2023-01-10,5,home,8,70.29,562.32,0,1,1,0
2023-01-10,5,sports,6,62.98,377.88,0,1,1,0
2023-01-11,1,sports,7,66.5,465.5,0,2,1,0
2023-01-11,2,home,7,56.24,393.68,0,2,1,0
2023-01-11,4,electronics,9,93.68,843.12,0,2,1,0
2023-01-11,1,home,11,77.18,848.98,0,2,1,0
2023-01-11,1,clothing,14,46.88,656.32,0,2,1,0
2023-01-12,4,home,7,41.21,288.47,0,3,1,0
2023-01-12,1,sports,13,59.77,777.01,1,3,1,0
2023-01-12,2,food,43,10.74,461.82,0,3,1,0
2023-01-12,5,food,32,9.58,306.56,0,3,1,0
2023-01-12,3,electronics,13,163.67,2127.71,0,3,1,0
2023-01-13,5,sports,8,67.44,539.52,0,4,1,0
2023-01-13,1,food,35,10.59,370.65,0,4,1,0
2023-01-13,1,food,53,11.92,631.76,1,4,1,0
2023-01-13,1,food,39,9.32,363.48,1,4,1,0
2023-01-13,1,food,40,7.54,301.6,0,4,1,0
2023-01-13,1,clothing,20,46.89,937.8,0,4,1,0
2023-01-13,2,home,11,72.62,798.82,0,4,1,0
